Property_Name,Location,Region,Property_Age,Availability,Area_Tpye,Area_SqFt,Rate_SqFt,Floor_No,Bedroom,Bathroom,Price_Lakh
91,Unnamed Property,Meghalaya,Meghalaya,10+ Year,Ready To Move,Built Up Area,3822.0,28780,2,6,4,1100.0
92,Lodha Enchante ,Meghalaya,Meghalaya,1 to 5 Year,Ready To Move,Carpet Area,463.0,33477,15,1,1,155.0
93,Vardhaman Vatika Vasind ,Meghalaya,Meghalaya,1 to 5 Year,Ready To Move,Built Up Area,854.0,3747,1,2,2,32.0
94,Unnamed Property,Meghalaya,Meghalaya,10+ Year,Ready To Move,Plot Area,3000.0,18666,4,6,7,560.0
95,Arihant Anshula ,Meghalaya,Meghalaya,1 to 5 Year,Ready To Move,Carpet Area,1082.0,4621,4,2,2,50.0
96,Unnamed Property,Manipur,Manipur,1 to 5 Year,Ready To Move,Carpet Area,419.0,10023,1,1,1,42.0
97,Chandak Sparkling Wings ,Manipur,Manipur,5 to 10 Year,Ready To Move,Carpet Area,404.0,21783,18,1,2,83.0
98,Emgee Greens ,Manipur,Manipur,10+ Year,Ready To Move,Built Up Area,1075.0,16744,3,2,2,180.0
99,Romell Shraddha ,Manipur,Manipur,1 to 5 Year,Ready To Move,Carpet Area,1804.0,27716,4,6,3,500.0
100,Unnamed Property,Manipur,Manipur,10+ Year,Ready To Move,Built Up Area,1370.0,25547,1,3,3,350.0
101,Lodha Luxuria ,Manipur,Manipur,5 to 10 Year,Ready To Move,Carpet Area,804.0,21019,23,2,2,169.0
102,Ekta Parksville ,Manipur,Manipur,Within 3 months,Under Construction,Carpet Area,667.0,7196,2,2,2,48.0
103,Lifescapes Mirage ,Manipur,Manipur,5 to 10 Year,Ready To Move,Super Built Up Area,1265.0,45103,5,2,2,350.0
104,Unnamed Property,Manipur,Manipur,10+ Year,Ready To Move,Built Up Area,1012.0,19763,1,2,2,195.0
105,Unnamed Property,Manipur,Manipur,10+ Year,Ready To Move,Carpet Area,1070.0,16355,1,3,2,160.0
106,Krishna Vatika CHS ,Manipur,Manipur,10+ Year,Ready To Move,Super Built Up Area,900.0,16111,7,2,2,145.0
107,Vastu Aarav Heights ,Manipur,Manipur,1 to 5 Year,Ready To Move,Carpet Area,370.0,7973,7,1,1,29.5
108,Unnamed Property,Manipur,Manipur,10+ Year,Ready To Move,Carpet Area,435.0,18390,5,1,1,80.0
109,Unnamed Property,Manipur,Manipur,0 to 1 Year,Ready To Move,Carpet Area,585.0,12820,7,2,2,75.0
110,Unnamed Property,Manipur,Manipur,0 to 1 Year,Ready To Move,Built Up Area,765.0,6013,11,1,2,46.0
111,Acme Ozone ,Manipur,Manipur,1 to 5 Year,Ready To Move,Carpet Area,989.0,17189,20,3,3,170.0
112,Tata Amantra ,Manipur,Manipur,1 to 5 Year,Ready To Move,Super Built Up Area,1017.0,6391,4,2,1,65.0
113,RNA NG Regency ,Manipur,Manipur,5 to 10 Year,Ready To Move,Super Built Up Area,672.0,7872,3,1,1,52.0
114,Unnamed Property,Manipur,Manipur,5 to 10 Year,Ready To Move,Carpet Area,950.0,10526,1,2,2,100.0
115,Goodbuild Shepherd Residency ,Manipur,Manipur,10+ Year,Ready To Move,Super Built Up Area,855.0,18713,16,2,2,160.0
116,Unnamed Property,Manipur,Manipur,10+ Year,Ready To Move,Carpet Area,1400.0,22142,11,3,3,310.0
117,Unnamed Property,Manipur,Manipur,5 to 10 Year,Ready To Move,Built Up Area,2125.0,28235,3,4,4,585.0
118,Serenity Heights ,Manipur,Manipur,0 to 1 Year,Ready To Move,Carpet Area,1113.0,29649,2,3,3,330.0
119,Riddhi Siddhi CHS ,Manipur,Manipur,10+ Year,Ready To Move,Built Up Area,610.0,17213,5,1,2,105.0
120,Lodha Amara ,Manipur,Manipur,1 to 5 Year,Ready To Move,Carpet Area,557.0,15978,21,2,2,89.0
121,Vakratunda Palace ,Manipur,Manipur,5 to 10 Year,Ready To Move,Carpet Area,678.0,24337,11,2,2,165.0
122,Ganraj Beauty Landmark ,Manipur,Manipur,1 to 5 Year,Ready To Move,Carpet Area,367.0,21799,19,1,1,80.0
123,Tata Amantra ,Manipur,Manipur,1 to 5 Year,Ready To Move,Built Up Area,1071.0,7937,17,2,1,85.0
124,Unnamed Property,Manipur,Manipur,1 to 5 Year,Ready To Move,Carpet Area,420.0,17857,4,1,2,75.0
125,Rohan Lifescapes Amrut Wadi ,Manipur,Manipur,0 to 1 Year,Ready To Move,Carpet Area,410.0,44561,18,1,1,183.0
126,Unnamed Property,Manipur,Manipur,10+ Year,Ready To Move,Carpet Area,700.0,47142,9,2,2,330.0
127,Unnamed Property,Manipur,Manipur,5 to 10 Year,Ready To Move,Carpet Area,1400.0,31428,3,4,3,440.0
128,Unnamed Property,Manipur,Manipur,10+ Year,Ready To Move,Carpet Area,757.0,19815,3,2,2,150.0
129,MICL Aaradhya Highpark ,Manipur,Manipur,Within 3 months,Under Construction,Carpet Area,630.0,21904,1,2,2,138.0
130,Unnamed Property,Manipur,Manipur,1 to 5 Year,Ready To Move,Super Built Up Area,643.0,6414,4,1,1,39.0
131,Sark Park View ,Manipur,Manipur,5 to 10 Year,Ready To Move,Carpet Area,550.0,8909,5,1,2,49.0
132,Unnamed Property,Manipur,Manipur,5 to 10 Year,Ready To Move,Super Built Up Area,1050.0,6190,4,2,2,65.0
133,Unnamed Property,Manipur,Manipur,10+ Year,Ready To Move,Super Built Up Area,503.0,15806,0,1,1,79.5
134,Balaji Symphony ,Manipur,Manipur,1 to 5 Year,Ready To Move,Super Built Up Area,805.0,8695,21,1,1,70.0
135,Unnamed Property,Manipur,Manipur,10+ Year,Ready To Move,Built Up Area,970.0,20834,1,2,2,215.0
136,Unnamed Property,Manipur,Manipur,5 to 10 Year,Ready To Move,Super Built Up Area,500.0,13000,4,1,1,65.0
137,Unnamed Property,Manipur,Manipur,1 to 5 Year,Ready To Move,Built Up Area,720.0,3055,3,1,1,22.0
138,Unnamed Property,Manipur,Manipur,5 to 10 Year,Ready To Move,Built Up Area,1000.0,8000,5,2,2,80.0
139,Wellwisher Town ,Manipur,Manipur,0 to 1 Year,Ready To Move,Built Up Area,1000.0,7000,8,2,2,42.0
140,Unnamed Property,Manipur,Manipur,10+ Year,Ready To Move,Super Built Up Area,913.0,9309,1,2,2,85.0
141,Unnamed Property,Manipur,Manipur,10+ Year,Ready To Move,Carpet Area,610.0,20819,12,2,2,127.0
142,Unnamed Property,Manipur,Manipur,10+ Year,Ready To Move,Carpet Area,450.0,27777,1,2,2,125.0
143,Unnamed Property,Manipur,Manipur,0 to 1 Year,Ready To Move,Built Up Area,575.0,6434,1,1,2,37.0
144,Unnamed Property,Sikkim,Sikkim,10+ Year,Ready To Move,Carpet Area,350.0,9714,3,1,1,34.0
145,Unnamed Property,Sikkim,Sikkim,10+ Year,Ready To Move,Built Up Area,350.0,14285,0,1,1,50.0
146,Unnamed Property,Sikkim,Sikkim,5 to 10 Year,Ready To Move,Built Up Area,590.0,4746,3,1,1,28.0
147,Triveni Ultima Bliss ,Sikkim,Sikkim,1 to 5 Year,Ready To Move,Super Built Up Area,758.0,7519,15,1,2,60.0
148,Unnamed Property,Sikkim,Sikkim,5 to 10 Year,Ready To Move,Super Built Up Area,950.0,6315,0,2,2,54.0
149,Unnamed Property,Sikkim,Sikkim,0 to 1 Year,Ready To Move,Built Up Area,750.0,12553,3,1,1,59.0
150,Sai Sastha Crystal ,Sikkim,Sikkim,1 to 5 Year,Ready To Move,Carpet Area,337.0,20771,16,1,1,70.0
151,CGEWHO Kendriya Vihar ,Sikkim,Sikkim,10+ Year,Ready To Move,Carpet Area,1200.0,9916,3,3,2,119.0
152,Mehek CHS ,Sikkim,Sikkim,10+ Year,Ready To Move,Carpet Area,545.0,16513,5,2,2,90.0
153,Marathon Nexzone ,Sikkim,Sikkim,1 to 5 Year,Ready To Move,Built Up Area,866.0,8083,6,2,2,70.0
154,Mittal Tower CHS ,Sikkim,Sikkim,10+ Year,Ready To Move,Carpet Area,647.0,18547,4,2,2,120.0
155,Lodha Regency ,Sikkim,Sikkim,5 to 10 Year,Ready To Move,Built Up Area,835.0,7878,4,2,2,58.0
156,Unnamed Property,Sikkim,Sikkim,10+ Year,Ready To Move,Built Up Area,740.0,7162,1,2,2,53.0
157,Unnamed Property,Sikkim,Sikkim,1 to 5 Year,Ready To Move,Super Built Up Area,540.0,5555,4,1,1,30.0
158,Lodha Eternis ,Sikkim,Sikkim,1 to 5 Year,Ready To Move,Carpet Area,854.0,31030,5,2,2,265.0
159,Gitanjali Tatva ,Sikkim,Sikkim,0 to 1 Year,Ready To Move,Super Built Up Area,1350.0,20370,14,3,2,275.0
160,Kohinoor Majestic ,Sikkim,Sikkim,Within 3 months,Under Construction,Built Up Area,725.0,6896,15,1,2,50.0
161,MM Spectra ,Sikkim,Sikkim,1 to 5 Year,Ready To Move,Super Built Up Area,1496.0,12032,15,2,2,180.0
162,Unnamed Property,Sikkim,Sikkim,5 to 10 Year,Ready To Move,Carpet Area,676.0,15733,4,2,2,118.0
163,Pam Vasant ,Sikkim,Sikkim,5 to 10 Year,Ready To Move,Built Up Area,1055.0,8056,4,2,2,80.0
164,Unnamed Property,Sikkim,Sikkim,5 to 10 Year,Ready To Move,Super Built Up Area,800.0,33750,1,2,2,270.0
165,Asmitha Jyothi CHS ,Sikkim,Sikkim,10+ Year,Ready To Move,Super Built Up Area,621.0,12560,6,1,2,78.0
166,Unnamed Property,Sikkim,Sikkim,10+ Year,Ready To Move,Built Up Area,650.0,15384,9,1,1,100.0
167,Unnamed Property,Sikkim,Sikkim,1 to 5 Year,Ready To Move,Super Built Up Area,1327.0,43234,10,3,3,425.0
168,Unnamed Property,Sikkim,Sikkim,10+ Year,Ready To Move,Carpet Area,708.0,21892,1,2,2,155.0
169,Unnamed Property,Sikkim,Sikkim,5 to 10 Year,Ready To Move,Built Up Area,645.0,12403,1,1,2,80.0
170,Unnamed Property,Sikkim,Sikkim,10+ Year,Ready To Move,Carpet Area,617.0,36466,7,2,2,225.0
171,Unnamed Property,Sikkim,Sikkim,10+ Year,Ready To Move,Carpet Area,602.0,28239,6,2,2,170.0
172,Unnamed Property,Sikkim,Sikkim,10+ Year,Ready To Move,Carpet Area,1150.0,23913,3,4,3,265.0
173,Unnamed Property,Sikkim,Sikkim,10+ Year,Ready To Move,Carpet Area,650.0,19230,2,2,2,125.0
174,Unnamed Property,Sikkim,Sikkim,10+ Year,Ready To Move,Plot Area,400.0,8000,2,2,2,32.0
175,Aishwarya Avant Heritage 1 and 2 ,Sikkim,Sikkim,0 to 1 Year,Ready To Move,Carpet Area,390.0,30769,12,1,2,120.0
176,Heena Presidency ,Sikkim,Sikkim,1 to 5 Year,Ready To Move,Super Built Up Area,700.0,8500,6,1,2,59.5
177,Unnamed Property,Sikkim,Sikkim,5 to 10 Year,Ready To Move,Carpet Area,800.0,6875,2,2,2,55.0
178,Unnamed Property,Sikkim,Sikkim,5 to 10 Year,Ready To Move,Plot Area,2400.0,2291,1,3,2,55.0
179,Unnamed Property,Sikkim,Sikkim,1 to 5 Year,Ready To Move,Built Up Area,1376.0,19622,13,3,3,280.0
180,Unnamed Property,Sikkim,Sikkim,5 to 10 Year,Ready To Move,Carpet Area,585.0,10170,4,2,2,59.5
181,Unnamed Property,Sikkim,Sikkim,1 to 5 Year,Ready To Move,Built Up Area,640.0,7968,2,1,1,51.0
182,Unnamed Property,Sikkim,Sikkim,10+ Year,Ready To Move,Plot Area,740.0,6486,2,2,2,49.0
183,Unnamed Property,Sikkim,Sikkim,0 to 1 Year,Ready To Move,Carpet Area,378.0,14550,6,1,1,55.0
184,Gundecha Asta ,Sikkim,Sikkim,1 to 5 Year,Ready To Move,Carpet Area,401.0,26932,11,1,1,108.0
185,Kabra Galaxy Star CHS ,Sikkim,Sikkim,5 to 10 Year,Ready To Move,Super Built Up Area,1070.0,10280,6,2,2,110.0
186,Unnamed Property,Sikkim,Sikkim,5 to 10 Year,Ready To Move,Super Built Up Area,625.0,8800,3,1,1,55.0
187,Unnamed Property,Sikkim,Sikkim,1 to 5 Year,Ready To Move,Carpet Area,870.0,8160,4,2,2,71.0
188,Unnamed Property,Sikkim,Sikkim,10+ Year,Ready To Move,Built Up Area,370.0,6351,4,1,1,23.5
189,JP Harmony ,Sikkim,Sikkim,0 to 1 Year,Ready To Move,Built Up Area,995.0,3517,5,2,2,36.0
190,Horizon Homes ,Sikkim,Sikkim,0 to 1 Year,Ready To Move,Carpet Area,627.0,29505,1,2,2,185.0
191,Unnamed Property,Sikkim,Sikkim,1 to 5 Year,Ready To Move,Carpet Area,300.0,18666,14,1,1,56.0
192,Unnamed Property,Sikkim,Sikkim,5 to 10 Year,Ready To Move,Built Up Area,565.0,15752,5,1,1,89.0
193,Unity Apartment ,Sikkim,Sikkim,10+ Year,Ready To Move,Super Built Up Area,481.0,10187,3,1,1,49.0
194,Landmark Jawahar Milan CHS ,Tripura,Tripura,0 to 1 Year,Ready To Move,Carpet Area,793.0,24275,3,3,3,193.0
195,Vinay Unique Gardens ,Tripura,Tripura,1 to 5 Year,Ready To Move,Built Up Area,670.0,4954,8,1,2,33.5
196,Unnamed Property,Tripura,Tripura,10+ Year,Ready To Move,Super Built Up Area,825.0,8484,2,1,1,68.0
197,Unnamed Property,Tripura,Tripura,10+ Year,Ready To Move,Built Up Area,650.0,19230,4,1,1,125.0
198,Bharat Shiv Sai Paradise ,Tripura,Tripura,5 to 10 Year,Ready To Move,Super Built Up Area,618.0,13268,12,1,1,82.0
199,Unnamed Property,Tripura,Tripura,10+ Year,Ready To Move,Carpet Area,195.0,9230,2,1,1,18.0
200,SRK Solitaire ,Tripura,Tripura,5 to 10 Year,Ready To Move,Built Up Area,1750.0,17551,6,3,3,215.0
201,AO Realty Bianca ,Tripura,Tripura,5 to 10 Year,Ready To Move,Carpet Area,1010.0,28712,10,3,3,290.0
202,Unnamed Property,Tripura,Tripura,10+ Year,Ready To Move,Carpet Area,1100.0,29545,5,3,3,325.0
203,Virat Green Avenue ,Tripura,Tripura,1 to 5 Year,Ready To Move,Carpet Area,722.0,9279,2,2,2,67.0
204,Unnamed Property,Tripura,Tripura,1 to 5 Year,Ready To Move,Built Up Area,725.0,7310,4,1,1,53.0
205,Lodha Lakeshore Greens ,Tripura,Tripura,1 to 5 Year,Ready To Move,Carpet Area,673.0,10401,8,2,2,70.0
206,Unnamed Property,Tripura,Tripura,10+ Year,Ready To Move,Built Up Area,1105.0,20361,2,2,2,225.0
207,SRP Krish Residency ,Tripura,Tripura,5 to 10 Year,Ready To Move,Carpet Area,430.0,7674,3,1,1,33.0
208,Unnamed Property,Tripura,Tripura,10+ Year,Ready To Move,Carpet Area,982.0,23421,10,3,3,230.0
209,Vissanji Park ,Tripura,Tripura,10+ Year,Ready To Move,Carpet Area,775.0,45161,3,1,1,350.0
210,Unnamed Property,Tripura,Tripura,5 to 10 Year,Ready To Move,Carpet Area,1017.0,26548,5,2,2,250.0
