Property_Name,Location,Region,Property_Age,Availability,Area_Tpye,Area_SqFt,Rate_SqFt,Floor_No,Bedroom,Bathroom,Price_Lakh
1178,Unnamed Property,Trivandum,Trivandum,1 to 5 Year,Ready To Move,Super Built Up Area,1100.0,7909,12,2,2,87.0
1179,Unnamed Property,Trivandum,Trivandum,1 to 5 Year,Ready To Move,Carpet Area,390.0,39743,15,1,2,155.0
1180,Raj Rudraksha ,Trivandum,Trivandum,0 to 1 Year,Ready To Move,Carpet Area,443.0,17381,1,1,2,77.0
1181,Raj Rudraksha ,Trivandum,Trivandum,0 to 1 Year,Ready To Move,Super Built Up Area,950.0,18459,4,2,2,115.0
1182,Raj Rudraksha ,Trivandum,Trivandum,1 to 5 Year,Ready To Move,Carpet Area,396.0,19444,22,1,2,77.0
1183,Raj Rudraksha ,Trivandum,Trivandum,0 to 1 Year,Ready To Move,Super Built Up Area,610.0,20454,2,1,1,81.0
1184,Shagun Residency ,Trivandum,Trivandum,5 to 10 Year,Ready To Move,Super Built Up Area,676.0,8579,8,1,1,58.0
1185,JBD Excellence Tower ,Trivandum,Trivandum,5 to 10 Year,Ready To Move,Super Built Up Area,1020.0,7009,1,2,2,71.5
1186,Tharwani Heritage ,Trivandum,Trivandum,5 to 10 Year,Ready To Move,Built Up Area,1450.0,13793,17,3,3,200.0
1187,Arihant Aradhana ,Trivandum,Trivandum,1 to 5 Year,Ready To Move,Built Up Area,1125.0,12000,16,2,2,135.0
1188,Paradise Sai Miracle ,Trivandum,Trivandum,5 to 10 Year,Ready To Move,Carpet Area,1900.0,19210,28,5,5,365.0
1189,Balaji Heights ,Trivandum,Trivandum,1 to 5 Year,Ready To Move,Super Built Up Area,1280.0,11328,18,2,2,145.0
1190,Mayfair Hillcrest ,Trivandum,Trivandum,1 to 5 Year,Ready To Move,Super Built Up Area,1000.0,16500,1,2,2,165.0
1191,Hiranandani Regent Hill ,Trivandum,Trivandum,0 to 1 Year,Ready To Move,Carpet Area,382.0,37958,12,1,2,145.0
1192,Runwal Forests ,Trivandum,Trivandum,1 to 5 Year,Ready To Move,Carpet Area,1080.0,27314,48,3,3,295.0
1193,Kabra Prarthna ,Trivandum,Trivandum,1 to 5 Year,Ready To Move,Carpet Area,800.0,50000,4,2,3,400.0
1194,Unnamed Property,Trivandum,Trivandum,5 to 10 Year,Ready To Move,Super Built Up Area,610.0,7704,2,1,1,47.0
1195,Unnamed Property,Trivandum,Trivandum,0 to 1 Year,Ready To Move,Super Built Up Area,625.0,2160,4,1,2,13.5
1196,Aristo Lloyds Estate ,Trivandum,Trivandum,10+ Year,Ready To Move,Carpet Area,550.0,26909,12,2,1,148.0
1197,Sugee Preksha ,Trivandum,Trivandum,0 to 1 Year,Ready To Move,Carpet Area,702.0,51994,4,2,2,365.0
1198,Aristo Lloyds Estate ,Trivandum,Trivandum,10+ Year,Ready To Move,Super Built Up Area,898.0,22828,18,2,2,205.0
1199,Aristo Lloyds Estate ,Trivandum,Trivandum,10+ Year,Ready To Move,Carpet Area,550.0,26181,10,1,2,144.0
1200,Ashirwad Apartments ,Trivandum,Trivandum,5 to 10 Year,Ready To Move,Carpet Area,780.0,46153,7,2,2,360.0
1201,Aristo Lloyds Estate ,Trivandum,Trivandum,10+ Year,Ready To Move,Carpet Area,550.0,28181,5,2,2,155.0
1202,Bhairaav Gold Crest Residency ,Trivandum,Trivandum,1 to 5 Year,Ready To Move,Super Built Up Area,693.0,12554,9,1,1,87.0
1203,Unnamed Property,Trivandum,Trivandum,10+ Year,Ready To Move,Super Built Up Area,1300.0,28846,6,3,3,375.0
1204,Mittal Skylark ,Trivandum,Trivandum,0 to 1 Year,Ready To Move,Carpet Area,850.0,37647,11,3,3,320.0
1205,Raval Tower ,Trivandum,Trivandum,10+ Year,Ready To Move,Built Up Area,1700.0,29411,17,3,3,500.0
1206,Serenity Complex ,Trivandum,Trivandum,10+ Year,Ready To Move,Carpet Area,750.0,26666,4,2,2,200.0
1207,Marvel Shanti Heights ,Trivandum,Trivandum,5 to 10 Year,Ready To Move,Carpet Area,650.0,20769,15,2,2,135.0
1208,Unnamed Property,Trivandum,Trivandum,5 to 10 Year,Ready To Move,Super Built Up Area,1200.0,7583,11,2,2,91.0
1209,Rachna Mangala Residency ,Trivandum,Trivandum,1 to 5 Year,Ready To Move,Super Built Up Area,1150.0,6956,16,2,2,80.0
1210,Lodha New Cuffe Parade ,Trivandum,Trivandum,0 to 1 Year,Ready To Move,Carpet Area,995.0,26633,8,2,2,265.0
1211,Rutu Enclave ,Trivandum,Trivandum,5 to 10 Year,Ready To Move,Carpet Area,680.0,10588,7,2,2,72.0
1212,Aashapura Crown City ,Trivandum,Trivandum,1 to 5 Year,Ready To Move,Carpet Area,550.0,10000,1,1,1,55.0
1213,Seasons Orchid ,Trivandum,Trivandum,0 to 1 Year,Ready To Move,Carpet Area,700.0,9571,6,2,2,67.0
1214,Sai Satyam Homes ,Trivandum,Trivandum,0 to 1 Year,Ready To Move,Carpet Area,615.0,8780,14,2,2,54.0
1215,Sai Satyam Homes ,Trivandum,Trivandum,0 to 1 Year,Ready To Move,Carpet Area,415.0,9397,15,1,1,39.0
1216,Unnamed Property,Trivandum,Trivandum,5 to 10 Year,Ready To Move,Built Up Area,750.0,11333,4,1,1,85.0
1217,Unnamed Property,Trivandum,Trivandum,5 to 10 Year,Ready To Move,Built Up Area,2240.0,14508,8,3,3,325.0
1218,Unnamed Property,Trivandum,Trivandum,5 to 10 Year,Ready To Move,Built Up Area,1070.0,17757,18,2,2,190.0
1219,Paradise Sai World City ,Trivandum,Trivandum,0 to 1 Year,Ready To Move,Super Built Up Area,1400.0,10357,15,2,2,145.0
1220,Unnamed Property,Trivandum,Trivandum,1 to 5 Year,Ready To Move,Super Built Up Area,985.0,4011,5,2,2,39.5
1221,Monte South ,Trivandum,Trivandum,0 to 1 Year,Ready To Move,Carpet Area,1150.0,46869,17,3,3,539.0
1222,Monte South ,Trivandum,Trivandum,0 to 1 Year,Ready To Move,Carpet Area,941.0,44952,29,2,2,423.0
1223,Siddhivinayak Royal Meadows ,Trivandum,Trivandum,10+ Year,Ready To Move,Built Up Area,1080.0,6944,4,2,2,75.0
1224,Siddhivinayak Royal Meadows ,Trivandum,Trivandum,0 to 1 Year,Ready To Move,Built Up Area,800.0,6873,5,1,2,55.0
1225,Unnamed Property,Trivandum,Trivandum,1 to 5 Year,Ready To Move,Super Built Up Area,665.0,7067,3,1,1,47.0
1226,Virad Vinayak Mayureshwar Dham ,Trivandum,Trivandum,1 to 5 Year,Ready To Move,Carpet Area,435.0,7356,3,1,1,32.0
1227,Unnamed Property,Trivandum,Trivandum,1 to 5 Year,Ready To Move,Super Built Up Area,1005.0,6467,6,2,2,65.0
1228,Kailash Homes ,Trivandum,Trivandum,0 to 1 Year,Ready To Move,Carpet Area,425.0,9647,2,1,1,41.0
1229,Omkar Alta Monte ,Trivandum,Trivandum,1 to 5 Year,Ready To Move,Built Up Area,1380.0,17101,4,2,2,236.0
1230,The Park Residences ,Trivandum,Trivandum,0 to 1 Year,Ready To Move,Super Built Up Area,1600.0,30937,18,3,3,495.0
1231,JP North Celeste ,Trivandum,Trivandum,1 to 5 Year,Ready To Move,Carpet Area,480.0,13958,10,1,2,67.0
1232,JP North ,Trivandum,Trivandum,1 to 5 Year,Ready To Move,Carpet Area,650.0,14615,19,2,2,95.0
1233,Unnamed Property,Trivandum,Trivandum,1 to 5 Year,Ready To Move,Carpet Area,660.0,18939,2,2,2,125.0
1234,Fressia Ranibello ,Trivandum,Trivandum,5 to 10 Year,Ready To Move,Super Built Up Area,1050.0,15714,9,2,2,165.0
1235,Neelsidhi Orbit ,Trivandum,Trivandum,0 to 1 Year,Ready To Move,Carpet Area,374.0,17379,10,1,1,65.0
1236,Neelsidhi Regalia ,Trivandum,Trivandum,0 to 1 Year,Ready To Move,Carpet Area,592.0,17736,10,2,2,105.0
1237,Rajesh Sea Star ,Trivandum,Trivandum,1 to 5 Year,Ready To Move,Super Built Up Area,1140.0,8333,6,2,2,95.0
1238,Elegant Olympia ,Trivandum,Trivandum,1 to 5 Year,Ready To Move,Super Built Up Area,980.0,7142,2,2,2,70.0
1239,Tulsi Aura ,Trivandum,Trivandum,1 to 5 Year,Ready To Move,Super Built Up Area,635.0,12913,6,1,2,82.0
1240,Neelkanth Heights ,Trivandum,Trivandum,1 to 5 Year,Ready To Move,Super Built Up Area,1585.0,13249,17,3,3,210.0
1241,Aurum Q Residences ,Trivandum,Trivandum,0 to 1 Year,Ready To Move,Carpet Area,720.0,21527,20,2,2,155.0
1242,Unnamed Property,Trivandum,Trivandum,1 to 5 Year,Ready To Move,Carpet Area,1000.0,12500,4,3,3,125.0
1243,RNA NG Grand Plaza ,Trivandum,Trivandum,0 to 1 Year,Ready To Move,Super Built Up Area,1650.0,12727,12,3,3,210.0
1244,Unnamed Property,Trivandum,Trivandum,10+ Year,Ready To Move,Carpet Area,450.0,16666,6,1,2,75.0
1245,VUB Paradise ,Trivandum,Trivandum,1 to 5 Year,Ready To Move,Carpet Area,750.0,11466,3,2,2,86.0
1246,CIDCO Spaghetti Complex ,Trivandum,Trivandum,10+ Year,Ready To Move,Super Built Up Area,650.0,10769,6,1,1,70.0
1247,Geomatrix Silver Crest ,Trivandum,Trivandum,1 to 5 Year,Ready To Move,Super Built Up Area,665.0,8721,1,1,1,58.0
1248,Unnamed Property,Trivandum,Trivandum,10+ Year,Ready To Move,Carpet Area,355.0,6197,3,1,1,22.0
1249,Kumar Vastu Pinnacle ,Trivandum,Trivandum,0 to 1 Year,Ready To Move,Built Up Area,700.0,27285,12,2,2,191.0
1250,Puraniks Capitol ,Trivandum,Trivandum,1 to 5 Year,Ready To Move,Super Built Up Area,994.0,8752,15,2,2,87.0
1251,Yash Plaza ,Trivandum,Trivandum,10+ Year,Ready To Move,Super Built Up Area,575.0,8000,5,1,1,46.0
1252,Unnamed Property,Trivandum,Trivandum,5 to 10 Year,Ready To Move,Super Built Up Area,1050.0,8095,2,2,2,85.0
1253,Tirupati Icon ,Trivandum,Trivandum,10+ Year,Ready To Move,Super Built Up Area,1000.0,6500,1,2,1,65.0
1254,Resicom Sai Miracle ,Trivandum,Trivandum,5 to 10 Year,Ready To Move,Super Built Up Area,640.0,8593,4,1,1,55.0
1255,Rosa Gardenia ,Trivandum,Trivandum,1 to 5 Year,Ready To Move,Super Built Up Area,950.0,7894,9,2,2,75.0
1256,Unnamed Property,Trivandum,Trivandum,1 to 5 Year,Ready To Move,Built Up Area,650.0,5384,6,1,1,35.0
1257,Unnamed Property,Trivandum,Trivandum,5 to 10 Year,Ready To Move,Carpet Area,1011.0,28684,6,3,3,290.0
1258,SM Vision ,Trivandum,Trivandum,1 to 5 Year,Ready To Move,Built Up Area,1260.0,9841,3,2,2,124.0
1259,Bhagwati Imperia ,Trivandum,Trivandum,1 to 5 Year,Ready To Move,Super Built Up Area,1700.0,11882,11,3,3,202.0
1260,Trishul Symphony ,Trivandum,Trivandum,1 to 5 Year,Ready To Move,Super Built Up Area,1850.0,10540,16,3,3,195.0
1261,Sai Yashaskaram ,Trivandum,Trivandum,5 to 10 Year,Ready To Move,Super Built Up Area,1850.0,10540,6,3,3,195.0
1262,Om Rudra ,Trivandum,Trivandum,5 to 10 Year,Ready To Move,Super Built Up Area,1635.0,12844,18,3,3,210.0
1263,Kasturi Heights ,Trivandum,Trivandum,5 to 10 Year,Ready To Move,Super Built Up Area,1850.0,11081,10,3,3,205.0
1264,Saurabh Avenue ,Trivandum,Trivandum,5 to 10 Year,Ready To Move,Carpet Area,780.0,11538,7,2,2,90.0
1265,Sai Prasad Residency ,Trivandum,Trivandum,5 to 10 Year,Ready To Move,Super Built Up Area,665.0,9774,4,1,1,65.0
1266,Sunrise Glory ,Trivandum,Trivandum,1 to 5 Year,Ready To Move,Super Built Up Area,680.0,5735,7,1,2,39.0
1267,Today Imperia ,Trivandum,Trivandum,5 to 10 Year,Ready To Move,Super Built Up Area,1210.0,8016,5,2,2,97.0
1268,National Marvel ,Trivandum,Trivandum,5 to 10 Year,Ready To Move,Super Built Up Area,1555.0,8231,8,3,3,128.0
1269,Runwal Forests ,Trivandum,Trivandum,0 to 1 Year,Ready To Move,Super Built Up Area,620.0,26326,23,2,2,124.0
1270,Runwal Forests ,Trivandum,Trivandum,0 to 1 Year,Ready To Move,Super Built Up Area,945.0,17460,15,2,2,165.0
1271,Runwal Forests ,Trivandum,Trivandum,0 to 1 Year,Ready To Move,Super Built Up Area,1050.0,24643,18,2,2,190.0
1272,Unnamed Property,Trivandum,Trivandum,1 to 5 Year,Ready To Move,Carpet Area,585.0,41025,5,2,2,240.0
1273,AR Elanza ,Trivandum,Trivandum,5 to 10 Year,Ready To Move,Carpet Area,805.0,49689,8,2,2,400.0
1274,Hiranandani Avalon ,Trivandum,Trivandum,10+ Year,Ready To Move,Super Built Up Area,1050.0,30476,26,2,2,320.0
1275,RNA NG Vikas ,Bhopal,Bhopal,5 to 10 Year,Ready To Move,Super Built Up Area,595.0,9243,5,1,1,55.0
1276,Goodwill Heritage ,Bhopal,Bhopal,5 to 10 Year,Ready To Move,Super Built Up Area,1286.0,8942,6,2,2,115.0
1277,Evershine Millennium Paradise ,Bhopal,Bhopal,10+ Year,Ready To Move,Carpet Area,1100.0,24090,4,3,3,265.0
1278,Aurum Q Residences ,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Super Built Up Area,1157.0,14693,13,2,2,170.0
1279,Unnamed Property,Bhopal,Bhopal,5 to 10 Year,Ready To Move,Carpet Area,700.0,12857,3,2,2,90.0
1280,Sonal Dev Con Gopal Krishna ,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Super Built Up Area,1800.0,16666,9,3,3,300.0
1281,Monte South ,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Carpet Area,1201.0,46960,18,3,3,564.0
1282,Lodha Dioro ,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Carpet Area,1330.0,34736,16,3,4,462.0
1283,Unnamed Property,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Carpet Area,1600.0,37437,45,3,4,599.0
1284,Unnamed Property,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Carpet Area,2100.0,38095,3,4,4,800.0
1285,Kulswamini Srushti Residency ,Bhopal,Bhopal,5 to 10 Year,Ready To Move,Super Built Up Area,985.0,7614,1,2,2,75.0
1286,Aboli Estate ,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Carpet Area,450.0,9388,1,1,1,42.2
1287,Aboli Estate ,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Carpet Area,669.0,9288,1,2,2,62.1
1288,Mangeshi Dazzle ,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Super Built Up Area,960.0,8500,11,2,2,81.6
1289,Kosmos Nandanvan ,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Carpet Area,695.0,33812,14,2,2,235.0
1290,K Guru Residency ,Bhopal,Bhopal,5 to 10 Year,Ready To Move,Carpet Area,825.0,22424,2,2,2,185.0
1291,Haware Splendor ,Bhopal,Bhopal,1 to 5 Year,Ready To Move,Super Built Up Area,850.0,12941,7,2,2,110.0
1292,Jalvayu Vihar ,Bhopal,Bhopal,5 to 10 Year,Ready To Move,Super Built Up Area,1050.0,11428,6,2,2,120.0
1293,Shah Royale ,Bhopal,Bhopal,5 to 10 Year,Ready To Move,Super Built Up Area,1120.0,12500,4,2,2,140.0
1294,R S Grandeur ,Bhopal,Bhopal,5 to 10 Year,Ready To Move,Super Built Up Area,1210.0,10330,11,2,2,125.0
1295,Sai Yashaskaram ,Bhopal,Bhopal,5 to 10 Year,Ready To Move,Super Built Up Area,1150.0,11304,18,2,2,130.0
1296,Kasturi Heights ,Bhopal,Bhopal,5 to 10 Year,Ready To Move,Super Built Up Area,1630.0,12269,10,3,3,200.0
1297,Neelsidhi Anexo ,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Super Built Up Area,700.0,13571,7,1,2,95.0
1298,Poonam Valley ,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Super Built Up Area,1030.0,8543,7,2,2,88.0
1299,Unnamed Property,Bhopal,Bhopal,10+ Year,Ready To Move,Carpet Area,900.0,28888,6,3,3,260.0
1300,Pyramid Elements ,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Super Built Up Area,1050.0,12000,27,2,2,126.0
1301,Gundecha Asta ,Bhopal,Bhopal,1 to 5 Year,Ready To Move,Carpet Area,886.0,24830,6,3,2,220.0
1302,Oak Residency ,Bhopal,Bhopal,1 to 5 Year,Ready To Move,Super Built Up Area,1030.0,10679,5,2,2,110.0
1303,Balaji Mayuresh Delta ,Bhopal,Bhopal,1 to 5 Year,Ready To Move,Built Up Area,1245.0,10240,10,2,2,127.0
1304,Raas Leela Vrindavan ,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Carpet Area,650.0,11384,2,2,2,74.0
1305,Haware Citi ,Bhopal,Bhopal,5 to 10 Year,Ready To Move,Carpet Area,718.0,10167,2,3,3,73.0
1306,Unnamed Property,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Super Built Up Area,650.0,8923,1,1,2,58.0
1307,Unique Shanti The Address ,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Super Built Up Area,1060.0,8962,2,2,2,95.0
1308,Unique Shanti The Address ,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Carpet Area,450.0,15333,2,1,2,69.0
1309,Giriraj Sarvoday Greens ,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Super Built Up Area,1050.0,4714,10,2,2,49.5
1310,Anjani Sparsh ,Bhopal,Bhopal,1 to 5 Year,Ready To Move,Super Built Up Area,695.0,8920,2,1,2,62.0
1311,Unnamed Property,Bhopal,Bhopal,5 to 10 Year,Ready To Move,Super Built Up Area,1050.0,10476,2,2,2,110.0
1312,Unnamed Property,Bhopal,Bhopal,1 to 5 Year,Ready To Move,Super Built Up Area,1810.0,15469,37,3,3,280.0
1313,RNA NG Grand Plaza ,Bhopal,Bhopal,1 to 5 Year,Ready To Move,Super Built Up Area,1427.0,14015,20,2,2,200.0
1314,RNA NG Grand Plaza ,Bhopal,Bhopal,1 to 5 Year,Ready To Move,Super Built Up Area,1299.0,13856,10,2,2,180.0
1315,Unnamed Property,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Super Built Up Area,900.0,8333,10,2,2,75.0
1316,Unnamed Property,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Super Built Up Area,650.0,17076,5,1,1,111.0
1317,Unnamed Property,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Super Built Up Area,1151.0,14335,4,2,2,165.0
1318,Deep Auralis The Twins ,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Super Built Up Area,1350.0,15777,26,2,3,213.0
1319,Deep Auralis The Twins ,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Super Built Up Area,1920.0,12239,1,3,4,235.0
1320,Pridedream Giriraj Dreams ,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Super Built Up Area,1550.0,16451,22,2,2,255.0
1321,Pridedream Giriraj Dreams ,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Super Built Up Area,1150.0,16956,22,2,2,195.0
1322,Pridedream Giriraj Dreams ,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Super Built Up Area,1250.0,16880,22,2,2,211.0
1323,Pridedream Giriraj Dreams ,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Super Built Up Area,1600.0,18187,26,3,3,291.0
1324,Pridedream Giriraj Dreams ,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Super Built Up Area,1600.0,17937,26,3,3,287.0
1325,Pridedream Giriraj Dreams ,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Super Built Up Area,1200.0,17166,26,2,2,206.0
1326,Unnamed Property,Bhopal,Bhopal,5 to 10 Year,Ready To Move,Super Built Up Area,686.0,8017,1,1,2,55.0
1327,Siddhi Belleza ,Bhopal,Bhopal,1 to 5 Year,Ready To Move,Super Built Up Area,1185.0,7932,9,2,2,94.0
1328,Unnamed Property,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Carpet Area,412.0,6075,2,1,2,25.0
1329,Unnamed Property,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Built Up Area,614.0,4500,2,1,1,27.6
1330,Unnamed Property,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Carpet Area,690.0,23043,6,2,2,159.0
1331,Kanakia Sevens ,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Super Built Up Area,1250.0,21621,4,2,2,184.0
1332,Runwal Eirene ,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Carpet Area,424.0,18396,10,1,2,78.0
1333,Chandiwala Pearl Heights ,Bhopal,Bhopal,10+ Year,Ready To Move,Super Built Up Area,1137.0,20668,7,2,2,235.0
1334,Unnamed Property,Bhopal,Bhopal,10+ Year,Ready To Move,Super Built Up Area,870.0,8620,2,2,2,75.0
1335,Adelphi Apartment ,Bhopal,Bhopal,10+ Year,Ready To Move,Carpet Area,750.0,28000,6,2,2,210.0
1336,Unnamed Property,Bhopal,Bhopal,1 to 5 Year,Ready To Move,Carpet Area,390.0,10000,14,1,2,39.0
1337,Unnamed Property,Bhopal,Bhopal,1 to 5 Year,Ready To Move,Carpet Area,390.0,10256,3,1,1,40.0
1338,Unnamed Property,Bhopal,Bhopal,5 to 10 Year,Ready To Move,Super Built Up Area,2000.0,10500,1,3,2,210.0
1339,Sky Pan Apartment ,Bhopal,Bhopal,5 to 10 Year,Ready To Move,Carpet Area,1200.0,35416,2,3,3,425.0
1340,Unnamed Property,Bhopal,Bhopal,10+ Year,Ready To Move,Carpet Area,420.0,18571,4,1,1,78.0
1341,Unnamed Property,Bhopal,Bhopal,10+ Year,Ready To Move,Carpet Area,390.0,17948,3,1,1,70.0
1342,Unnamed Property,Bhopal,Bhopal,10+ Year,Ready To Move,Carpet Area,700.0,10857,3,2,2,76.0
1343,Unnamed Property,Bhopal,Bhopal,10+ Year,Ready To Move,Carpet Area,350.0,15714,2,1,1,55.0
1344,Group Seven Rushi Heights ,Bhopal,Bhopal,5 to 10 Year,Ready To Move,Super Built Up Area,1050.0,16190,23,2,2,170.0
1345,Unnamed Property,Bhopal,Bhopal,1 to 5 Year,Ready To Move,Super Built Up Area,715.0,15384,5,2,2,110.0
1346,Godrej Platinum ,Bhopal,Bhopal,1 to 5 Year,Ready To Move,Carpet Area,1700.0,50000,27,4,5,850.0
1347,Nine Realcon Glorious Lifestyle ,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Super Built Up Area,850.0,4647,1,2,2,39.5
1348,Unnamed Property,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Super Built Up Area,1050.0,4952,1,2,2,52.0
1349,Marathon Nexzone ,Bhopal,Bhopal,1 to 5 Year,Ready To Move,Super Built Up Area,1215.0,11847,16,2,2,84.0
1350,Marathon Nexzone ,Bhopal,Bhopal,1 to 5 Year,Ready To Move,Super Built Up Area,1215.0,11988,16,2,2,85.0
1351,Marathon Nexzone ,Bhopal,Bhopal,1 to 5 Year,Ready To Move,Built Up Area,925.0,7567,10,2,2,70.0
1352,Siddhi Belleza ,Bhopal,Bhopal,1 to 5 Year,Ready To Move,Super Built Up Area,1167.0,8140,9,2,2,95.0
1353,City Century One ,Bhopal,Bhopal,1 to 5 Year,Ready To Move,Super Built Up Area,890.0,11123,14,2,2,99.0
1354,Unnamed Property,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Super Built Up Area,1100.0,15000,2,2,2,165.0
1355,Trishul Symphony ,Bhopal,Bhopal,5 to 10 Year,Ready To Move,Super Built Up Area,1455.0,9621,7,2,2,140.0
1356,Unnamed Property,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Super Built Up Area,1500.0,16666,1,3,3,250.0
1357,Paradise Sai World City ,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Carpet Area,1911.0,14652,29,4,4,280.0
1358,Paradise Sai World City ,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Carpet Area,1100.0,15909,15,3,3,175.0
1359,Paradise Sai World City ,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Carpet Area,825.0,16363,15,2,2,135.0
1360,Aryan Land Breeze ,Bhopal,Bhopal,5 to 10 Year,Ready To Move,Super Built Up Area,1100.0,8545,3,2,2,94.0
1361,Hiranandani Rodas Enclave ,Bhopal,Bhopal,5 to 10 Year,Ready To Move,Carpet Area,1500.0,24333,2,4,3,365.0
1362,Unnamed Property,Bhopal,Bhopal,1 to 5 Year,Ready To Move,Super Built Up Area,1600.0,14875,12,3,3,238.0
1363,Unnamed Property,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Built Up Area,650.0,5044,3,1,1,32.8
1364,Unnamed Property,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Built Up Area,900.0,4728,4,2,2,42.6
1365,Unnamed Property,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Built Up Area,650.0,4615,5,1,1,30.0
1366,Shashwat Park 2 ,Bhopal,Bhopal,1 to 5 Year,Ready To Move,Built Up Area,620.0,3387,0,1,1,21.0
1367,Shashwat Park ,Bhopal,Bhopal,1 to 5 Year,Ready To Move,Built Up Area,635.0,3425,7,1,1,21.8
1368,Heramb Park ,Bhopal,Bhopal,1 to 5 Year,Ready To Move,Built Up Area,600.0,3333,0,1,1,20.0
1369,Heramb Park ,Bhopal,Bhopal,1 to 5 Year,Ready To Move,Carpet Area,443.0,4966,7,1,1,22.0
1370,Unnamed Property,Bhopal,Bhopal,0 to 1 Year,Ready To Move,Carpet Area,410.0,4634,3,1,1,19.0
1371,Lodha Casa Bella Gold ,Bhopal,Bhopal,1 to 5 Year,Ready To Move,Carpet Area,628.0,8439,5,2,2,53.0
1372,Unnamed Property,Bhopal,Bhopal,1 to 5 Year,Ready To Move,Carpet Area,686.0,8600,7,2,2,59.0
1373,L and T Emerald Isle ,Mumbai,Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1356.0,19026,15,2,2,258.0
1374,Unnamed Property,Mumbai,Mumbai,0 to 1 Year,Ready To Move,Carpet Area,600.0,25833,16,2,2,155.0
1375,L and T Emerald Isle ,Mumbai,Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,986.0,19979,21,2,2,197.0
1376,Unnamed Property,Mumbai,Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1150.0,7217,4,2,2,83.0
1377,Gurukrupa Aramus Complex ,Mumbai,Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1199.0,7172,4,2,2,86.0
1378,Pratik Regalia ,Mumbai,Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1107.0,6639,3,2,2,73.5
1379,Yogsiddhi Sumukh Hills ,Mumbai,Mumbai,0 to 1 Year,Ready To Move,Carpet Area,620.0,26612,7,2,2,165.0
1380,Raunak Unnathi Woods Phase 6 ,Mumbai,Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,989.0,8594,5,2,2,85.0
1381,Prasham Vishal 2 ,Mumbai,Mumbai,1 to 5 Year,Ready To Move,Carpet Area,904.0,33738,6,3,3,305.0
1382,Unnamed Property,Mumbai,Mumbai,10+ Year,Ready To Move,Carpet Area,500.0,14400,5,1,1,72.0
1383,Vijay Park ,Mumbai,Mumbai,10+ Year,Ready To Move,Super Built Up Area,600.0,8083,3,1,1,48.5
1384,Omkar Alta Monte ,Mumbai,Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1750.0,25645,39,3,3,318.0
1385,Haware Tiara ,Mumbai,Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1550.0,10967,11,3,3,170.0
